Listening to port 4567
Connected!!!
UKF: initializing...
Radar NIS value=8.14634
Lidar NIS value=0.00178529
Radar NIS value=3.50075
Lidar NIS value=0.168135
Radar NIS value=4.56909
Lidar NIS value=0.282285
Radar NIS value=5.21151
Lidar NIS value=0.0229777
Radar NIS value=0.208707
Lidar NIS value=1.20956
Radar NIS value=1.05977
Lidar NIS value=1.89741
Radar NIS value=4.39725
Lidar NIS value=0.402397
Radar NIS value=1.92249
Lidar NIS value=12.2356
Radar NIS value=1.20656
Lidar NIS value=2.78683
Radar NIS value=1.9358
Lidar NIS value=1.71187
Radar NIS value=3.43782
Lidar NIS value=3.66444
Radar NIS value=0.330088
Lidar NIS value=0.213427
Radar NIS value=2.14236
Lidar NIS value=2.5877
Radar NIS value=5.23571
Lidar NIS value=0.549168
Radar NIS value=2.15586
Lidar NIS value=0.288759
Radar NIS value=6.7728
Lidar NIS value=0.59869
Radar NIS value=6.77986
Lidar NIS value=0.638292
Radar NIS value=4.23618
Lidar NIS value=2.58241
Radar NIS value=4.51012
Lidar NIS value=0.987332
Radar NIS value=3.03606
Lidar NIS value=1.59332
Radar NIS value=2.52366
Lidar NIS value=2.35588
Radar NIS value=0.724155
Lidar NIS value=0.29683
Radar NIS value=1.47593
Lidar NIS value=0.826982
Radar NIS value=0.81438
Lidar NIS value=3.08512
Radar NIS value=2.83267
Lidar NIS value=2.29168
Radar NIS value=10.5705
Lidar NIS value=0.945457
Radar NIS value=0.121253
Lidar NIS value=0.397865
Radar NIS value=1.52891
Lidar NIS value=2.55014
Radar NIS value=3.39259
Lidar NIS value=0.710896
Radar NIS value=2.44323
Lidar NIS value=0.324844
Radar NIS value=1.16694
Lidar NIS value=0.366222
Radar NIS value=1.56288
Lidar NIS value=0.221485
Radar NIS value=0.726336
Lidar NIS value=0.505397
Radar NIS value=3.46804
Lidar NIS value=0.418222
Radar NIS value=1.63369
Lidar NIS value=0.167061
Radar NIS value=2.92549
Lidar NIS value=1.68263
Radar NIS value=0.605956
Lidar NIS value=0.951846
Radar NIS value=0.865376
Lidar NIS value=0.695417
Radar NIS value=0.224692
Lidar NIS value=1.65245
Radar NIS value=0.801304
Lidar NIS value=3.5988
Radar NIS value=3.76741
Lidar NIS value=1.78239
Radar NIS value=0.290199
Lidar NIS value=1.259
Radar NIS value=2.1715
Lidar NIS value=3.1359
Radar NIS value=0.453737
Lidar NIS value=3.8964
Radar NIS value=1.0215
Lidar NIS value=3.35545
Radar NIS value=2.332
Lidar NIS value=1.10687
Radar NIS value=7.45268
Lidar NIS value=1.08082
Radar NIS value=2.51444
Lidar NIS value=2.13366
Radar NIS value=4.88348
Lidar NIS value=0.0338059
Radar NIS value=9.25947
Lidar NIS value=5.33984
Radar NIS value=4.33597
Lidar NIS value=0.874169
Radar NIS value=2.64283
Lidar NIS value=2.19853
Radar NIS value=2.14978
Lidar NIS value=0.957763
Radar NIS value=1.35499
Lidar NIS value=1.42967
Radar NIS value=0.76026
Lidar NIS value=0.36893
Radar NIS value=1.34095
Lidar NIS value=0.996272
Radar NIS value=3.42574
Lidar NIS value=2.31007
Radar NIS value=7.43918
Lidar NIS value=3.50032
Radar NIS value=1.34242
Lidar NIS value=0.0935679
Radar NIS value=1.89778
Lidar NIS value=0.428977
Radar NIS value=0.229687
Lidar NIS value=0.35224
Radar NIS value=6.36179
Lidar NIS value=2.09194
Radar NIS value=6.17042
Lidar NIS value=3.7713
Radar NIS value=1.84648
Lidar NIS value=0.917334
Radar NIS value=2.4478
Lidar NIS value=1.02
Radar NIS value=6.41969
Lidar NIS value=0.606775
Radar NIS value=1.89516
Lidar NIS value=0.233641
Radar NIS value=2.96061
Lidar NIS value=2.80763
Radar NIS value=3.27369
Lidar NIS value=0.827343
Radar NIS value=10.1135
Lidar NIS value=0.731717
Radar NIS value=3.2299
Lidar NIS value=1.1495
Radar NIS value=5.45369
Lidar NIS value=1.8739
Radar NIS value=2.28884
Lidar NIS value=0.569033
Radar NIS value=1.24925
Lidar NIS value=0.69835
Radar NIS value=0.262784
Lidar NIS value=1.48502
Radar NIS value=1.91905
Lidar NIS value=0.178632
Radar NIS value=1.96896
Lidar NIS value=2.13763
Radar NIS value=2.54379
Lidar NIS value=0.158523
Radar NIS value=0.912747
Lidar NIS value=1.78877
Radar NIS value=1.04683
Lidar NIS value=0.640463
Radar NIS value=4.08454
Lidar NIS value=0.372558
Radar NIS value=5.74267
Lidar NIS value=3.70132
Radar NIS value=0.99872
Lidar NIS value=1.51917
Radar NIS value=1.6797
Lidar NIS value=0.691374
Radar NIS value=1.4974
Lidar NIS value=2.72437
Radar NIS value=4.51717
Lidar NIS value=2.9392
Radar NIS value=0.152533
Lidar NIS value=0.102575
Radar NIS value=3.48356
Lidar NIS value=2.7986
Radar NIS value=0.220818
Lidar NIS value=0.232556
Radar NIS value=0.526548
Lidar NIS value=0.101617
Radar NIS value=2.97693
Lidar NIS value=0.295882
Radar NIS value=1.76517
Lidar NIS value=2.11763
Radar NIS value=1.83409
Lidar NIS value=1.9821
Radar NIS value=4.73191
Lidar NIS value=0.714647
Radar NIS value=1.53522
Lidar NIS value=1.06808
Radar NIS value=1.21452
Lidar NIS value=1.46903
Radar NIS value=7.08387
Lidar NIS value=3.03872
Radar NIS value=3.50935
Lidar NIS value=1.17017
Radar NIS value=2.22053
Lidar NIS value=6.1874
Radar NIS value=2.68436
Lidar NIS value=0.0428375
Radar NIS value=2.36008
Lidar NIS value=0.507338
Radar NIS value=4.72876
Lidar NIS value=2.25426
Radar NIS value=0.705358
Lidar NIS value=1.48062
Radar NIS value=2.36374
Lidar NIS value=0.620732
Radar NIS value=0.902722
Lidar NIS value=1.72334
Radar NIS value=2.35627
Lidar NIS value=0.874789
Radar NIS value=2.01048
Lidar NIS value=0.545169
Radar NIS value=2.39641
Lidar NIS value=4.26896
Radar NIS value=0.576266
Lidar NIS value=1.19492
Radar NIS value=1.47756
Lidar NIS value=3.6004
Radar NIS value=3.26635
Lidar NIS value=0.425059
Radar NIS value=3.50743
Lidar NIS value=0.472618
Radar NIS value=2.66219
Lidar NIS value=3.92317
Radar NIS value=2.07296
Lidar NIS value=1.70705
Radar NIS value=2.00144
Lidar NIS value=0.659005
Radar NIS value=1.38584
Lidar NIS value=2.10508
Radar NIS value=0.585486
Lidar NIS value=0.922795
Radar NIS value=2.34985
Lidar NIS value=3.91888
Radar NIS value=1.98459
Lidar NIS value=0.0619332
Radar NIS value=2.45508
Lidar NIS value=1.1312
Radar NIS value=5.53355
Lidar NIS value=0.629763
Radar NIS value=4.87378
Lidar NIS value=0.245315
Radar NIS value=2.00672
Lidar NIS value=2.48269
Radar NIS value=3.39848
Lidar NIS value=0.222667
Radar NIS value=3.83418
Lidar NIS value=1.92254
Radar NIS value=1.9958
Lidar NIS value=0.629753
Radar NIS value=0.409252
Lidar NIS value=2.00717
Radar NIS value=1.83493
Lidar NIS value=1.97176
Radar NIS value=1.60828
Lidar NIS value=0.935597
Radar NIS value=4.02431
Lidar NIS value=0.0170871
Radar NIS value=0.572992
Lidar NIS value=1.29238
Radar NIS value=0.302746
Lidar NIS value=0.519724
Radar NIS value=3.79396
